Polling agency,Date published,Sample size,NDA,INDIA,Others,Exact date published
TV9 Bharatvarsh - People's Insight - Polstrat,April 2024,2500000,362,149,32,2024-04-16
ABP News-CVoter,April 2024,57566,373,155,15,2024-04-16
Times Now-ETG,April 2024,271292,384,118,41,2024-04-04
News18,March 2024,118616,411,105,27,2024-03-06
ABP News-CVoter,March 2024,41762,366,156,21,2024-03-16
India TV-CNX,March 2024,162900,378,98,67,2024-03-06
Times Now-ETG,March 2024,323357,378,120,45,2024-03-09
Zee News-Matrize,February 2024,167843,377,93,73,2024-02-28
India Today-CVoter,February 2024,149092,335,166,42,2024-02-08
Times Now-ETG,February 2024,156843,366,104,73,2024-02-08
ABP-CVoter,December 2023,200000,315,185,50,2023-12-25
Times Now-ETG,December 2023,147231,329,158,57,2023-12-13
India TV-CNX,October 2023,54250,315,172,56,2023-10-07
Times Now-ETG,October 2023,135100,307,175,61,2023-10-03
Times Now-ETG,August 2023,110662,311,175,60,2023-08-16
India Today-CVoter,August 2023,160438,306,193,54,2023-08-24
India Today-CVoter,January 2023,140917,298,153,92,2023-02-18
